"","Ship","Count","Vessel_Kts","distance","Behavior","Visibility","SeaState","Year","Kts_scaled"
"215","Amsterdam",1,13.1910146,1991.523956,"BL-Blowing","excellent","1'",2008,-0.389365436359701
"216","Statendam",1,18.43661569,1991.552611,"BL-Blowing","excellent","1'",2008,1.13548914298937
"217","Statendam",1,17.38695557,1992.026768,"DF-Dive-fluke-up","excellent","1'",2008,0.830361281895747
"218","Ryndam",1,12.90693544,1992.381679,"DF-Dive-fluke-up","excellent","2'",2008,-0.471944992180184
"219","Ryndam",2,20.25872065,1992.478409,"DF-Dive-fluke-up","excellent","calm",2008,1.6651605847632
"220","Amsterdam",1,10.26727132,1992.547528,"BL-Blowing","excellent","2'",2008,-1.23927438918651
"221","Ryndam",1,12.01671123,1992.711909,"BL-Blowing","excellent","calm",2008,-0.730726100384108
"222","Amsterdam",1,7.634896251,1993.279445,"BL-Blowing","good","calm",2008,-2.00448491695255
"223","Statendam",1,19.44456725,1994.108176,"BL-Blowing","excellent","calm",2008,1.42849265691613
"224","Amsterdam",1,15.20937821,1994.536932,"RE-Resting","excellent","calm",2008,0.197356836397038
"225","Amsterdam",1,7.097280315,1994.817505,"RE-Resting","good","1'",2008,-2.16076560011457
"226","Statendam",1,19.36027572,1994.998777,"BL-Blowing","excellent","4'",2008,1.40398977853946
"227","Amsterdam",1,12.48841918,1995.313337,"BL-Blowing","excellent","4'",2008,-0.593604345349384
"228","Statendam",1,9.472012479,1997.228114,"BL-Blowing","excellent","2'",2008,-1.47044981878188
"229","Ryndam",1,18.41389248,1997.554004,"BL-Blowing","excellent","2'",2008,1.1288836862969
"230","Statendam",1,16.97202178,1998.854537,"LF-Lunge-feed","excellent","calm",2008,0.709743324305653
"231","Ryndam",1,20.24173122,1998.911493,"BL-Blowing","excellent","3'",2008,1.66022189238238
"232","Statendam",1,19.81635979,1999.269849,"BL-Blowing","excellent","1'",2008,1.53656979573395
"233","Amsterdam",2,9.855647873,2001.380698,"BL-Blowing","excellent","2'",2008,-1.35893005635533
"234","Statendam",1,15.27239544,2002.369391,"BL-Blowing","excellent","2'",2008,0.215675444711838
"235","Ryndam",1,17.38918508,2004.331724,"DF-Dive-fluke-up","excellent","1'",2008,0.831009382747275
"236","Ryndam",1,13.59139431,2009.222625,"BL-Blowing","excellent","calm",2008,-0.272978234245567
"237","Statendam",1,13.13957749,2188.759701,"BL-Blowing","excellent","1'",2008,-0.404317795753081
"238","Ryndam",1,13.25663994,2208.802829,"DF-Dive-fluke-up","excellent","calm",2008,-0.370288671179996
"239","Statendam",1,16.93591665,2286.310565,"DF-Dive-fluke-up","excellent","2'",2008,0.699247849740603
"240","Amsterdam",1,10.78080651,2484.848356,"BL-Blowing","excellent","3'",2008,-1.08999378765141
"241","Amsterdam",1,11.93082904,2486.062612,"BL-Blowing","good","1'",2008,-0.75569137099069
"242","Statendam",1,13.73278362,2486.37566,"DF-Dive-fluke-up","excellent","calm",2008,-0.23187748466026
"243","Ryndam",1,17.33942915,2486.50436,"BL-Blowing","excellent","1'",2008,0.816545729028941
"244","Statendam",8,14.55342725,2486.541445,"BL-Blowing","excellent","1'",2008,0.00667710150617522
"245","Statendam",2,13.47235724,2488.144134,"BL-Blowing","excellent","1'",2008,-0.307581365171369
"246","Statendam",2,15.98841362,2488.78759,"DF-Dive-fluke-up","excellent","1'",2008,0.423816243437764
"247","Ryndam",1,14.72137914,2489.301864,"BL-Blowing","excellent","2'",2008,0.0554993821529164
"248","Statendam",1,17.42236978,2490.205175,"SA-Surface-active","excellent","1'",2008,0.840655911503682
"249","Statendam",1,18.63867958,2491.488726,"DF-Dive-fluke-up","good","1'",2008,1.19422751113845
"250","Ryndam",2,19.58106287,2492.675064,"BL-Blowing","excellent","calm",2008,1.46817084968128
"251","Amsterdam",1,14.09314883,2494.668298,"DF-Dive-fluke-up","excellent","calm",2008,-0.127122179924231
"252","Amsterdam",4,13.31143724,2495.256172,"BL-Blowing","excellent","calm",2008,-0.354359531238292
"253","Statendam",1,14.86206434,2495.674739,"DF-Dive-fluke-up","excellent","2'",2008,0.0963954525528561
"254","Amsterdam",1,12.53518053,2502.046529,"BL-Blowing","excellent","calm",2008,-0.580011192255837
"255","Statendam",4,12.85475909,2504.728415,"BL-Blowing","excellent","2'",2008,-0.487112242770949
"256","Statendam",1,14.06047351,2506.314365,"RE-Resting","poor","calm",2008,-0.136620635959838
"257","Statendam",1,1.535494135,2512.386927,"DF-Dive-fluke-up","excellent","2'",2008,-3.7775326741685
"258","Amsterdam",1,12.52907078,2984.640577,"BL-Blowing","excellent","1'",2008,-0.581787248060755
"259","Amsterdam",1,13.95131531,2984.675095,"BL-Blowing","excellent","calm",2008,-0.168352057828881
"260","Amsterdam",5,10.6830826,2984.861336,"BL-Blowing","excellent","1'",2008,-1.11840135222194
"261","Amsterdam",2,10.53449195,2984.881434,"BL-Blowing","excellent","1'",2008,-1.16159547415639
"262","Amsterdam",1,9.926159617,2984.890623,"BL-Blowing","excellent","2'",2008,-1.3384328523378
"263","Amsterdam",1,10.00962179,2985.345852,"BL-Blowing","excellent","2'",2008,-1.31417106145475
"264","Amsterdam",1,11.35358759,2986.105703,"DF-Dive-fluke-up","excellent","calm",2008,-0.923490876389717
"265","Ryndam",2,18.95493281,2986.452306,"BL-Blowing","excellent","1'",2008,1.28615981360017
"266","Ryndam",3,19.68791578,2986.479094,"DF-Dive-fluke-up","excellent","calm",2008,1.4992321420546
